url,project_id,sdtc,mcpc,mcve,star_number,commit_count,files,lines,pull_requests,github_repo_creation,earliest_commit,most_recent_commit,committer_count,author_count,dominant_domain,dominant_domain_committer_commits,dominant_domain_author_commits,dominant_domain_committers,dominant_domain_authors,cik,fg500,sec10k,sec20f,project_name,owner_login,company_name,owner_company,license,repo_name,last90
https://github.com/usdot-jpo-ode/jpo-ode,49312494,t,f,f,38,3030,719.0,122483.0,300,2016-10-26 21:10:46,2016-10-26 21:10:46,2019-05-24 17:00:45,13,15,bah.com,2051,2363,4,5,,,,,jpo-ode,usdot-jpo-ode,,,NOASSERTION,usdot-jpo-ode/jpo-ode,181.0
https://github.com/afni/afni,19738042,t,f,f,52,5894,5008.0,2567528.0,69,2015-05-07 08:50:23,2015-04-09 19:40:13,2019-05-31 19:10:56,55,54,mail.nih.gov,3955,3977,4,4,,,,,afni,afni,,,,afni/afni,181.0
https://github.com/openucx/ucx,22041811,t,f,f,196,8099,827.0,241294.0,2469,2014-10-17 22:17:24,2015-05-08 20:33:58,2019-05-30 08:25:02,63,61,mellanox.com,4637,6206,15,27,1356104.0,f,t,f,ucx,openucx,"Mellanox Technologies, Ltd.",,NOASSERTION,openucx/ucx,181.0
https://github.com/cylc/cylc,850704,t,f,f,98,7781,,,1858,2011-06-02 08:31:49,2011-06-23 02:40:22,2019-04-23 22:45:41,38,41,metoffice.gov.uk,3459,3807,9,12,,,,,cylc,cylc,,,GPL-3.0,cylc/cylc,176.0
https://github.com/aspnet/EntityFramework,9665229,t,f,f,4839,10401,,,3153,2014-01-23 00:52:01,2014-01-23 16:47:50,2017-08-15 21:50:40,96,110,microsoft.com,3200,3214,18,35,789019.0,t,t,f,EntityFramework,aspnet,MICROSOFT CORPORATION,,,aspnet/EntityFramework,175.0
https://github.com/ECP-WarpX/WarpX,111381096,t,f,f,30,1102,345.0,66018.0,125,2018-09-27 17:53:35,2018-08-06 22:17:27,2019-05-31 22:53:41,17,16,lbl.gov,415,458,7,8,,,,,WarpX,ECP-WarpX,,,NOASSERTION,ECP-WarpX/WarpX,174.0
https://github.com/fedspendingtransparency/data-act-broker-backend,35342754,t,f,f,37,7824,971.0,391919.0,1493,2016-04-19 02:00:02,2015-11-30 15:21:57,2019-05-31 20:41:42,30,31,bah.com,2169,2677,9,10,,,,,data-act-broker-backend,fedspendingtransparency,,,CC0-1.0,fedspendingtransparency/data-act-broker-backend,174.0
https://github.com/Microsoft/vs-streamjsonrpc,54779321,t,t,t,144,1001,215.0,32887.0,186,2016-10-05 14:28:02,2016-10-15 06:13:13,2019-05-23 13:49:39,14,17,microsoft.com,52,68,8,8,789019.0,t,t,f,vs-streamjsonrpc,Microsoft,MICROSOFT CORPORATION,,NOASSERTION,Microsoft/vs-streamjsonrpc,173.0
https://github.com/Microsoft/vs-threading,54770834,f,t,t,329,1379,340.0,67863.0,248,2016-10-05 14:27:26,2016-06-03 15:33:01,2019-05-16 17:01:15,16,19,microsoft.com,80,82,10,9,789019.0,t,t,f,vs-threading,Microsoft,MICROSOFT CORPORATION,,NOASSERTION,Microsoft/vs-threading,172.0
https://github.com/cctbx/cctbx_project,50663883,t,f,f,71,6617,6220.0,1651209.0,136,2015-07-22 13:36:27,2015-12-22 16:38:52,2019-05-31 23:42:23,59,64,lbl.gov,3758,3608,10,27,,,,,cctbx_project,cctbx,,,NOASSERTION,cctbx/cctbx_project,167.0
